Q2,Q3,Q4,Q6,Q7,Q46,Q48,Q49,Q50,Q52,Q55,Q56,Q57,Q59,Q60,Q71,Q72,Q84,Q85,Q86,Q87,Q88,Q89,DRNO,DHISP,DDIS,DAGEGRP,DSUPER,DFEDTEN,DSEX,DMIL,DLEAVING
3.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,B,B,B,B,B,B,A,B,A
2.0,5.0,4.0,2.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,B,B,B,B,A,B,B,B,A
4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,B,B,A,B,A,A,A,A,A
1.0,2.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,5.0,B,B,B,A,A,A,B,A,C
4.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,2.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,B,A,B,A,A,A,A,B,C
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,B,B,B,A,A,A,B,B,A
2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,B,B,B,B,B,A,B,A,C
3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,B,B,B,B,A,C,A,B,A
2.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,B,B,B,B,A,A,B,A,A
3.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,3.0,5.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,B,B,B,B,A,B,A,B,A
